ruler,metric_slug,knot_value,midrank_score,tie_count
cdf,tas_annual_mean,-1.104917548774618,0.009110787172011662,1
cdf,tas_annual_mean,-0.02001530914738912,0.027332361516034985,1
cdf,tas_annual_mean,0.09293410843939742,0.045553935860058306,1
cdf,tas_annual_mean,0.09793522372118817,0.06377551020408163,1
cdf,tas_annual_mean,0.7545928427048908,0.08199708454810496,1
cdf,tas_annual_mean,1.1733230380755069,0.10021865889212828,1
cdf,tas_annual_mean,1.179247631805869,0.1184402332361516,1
cdf,tas_annual_mean,1.2923619636519905,0.13666180758017493,1
cdf,tas_annual_mean,1.3436240229454262,0.15488338192419826,1
cdf,tas_annual_mean,1.4266929567537254,0.1731049562682216,1
cdf,tas_annual_mean,1.9372006367971049,0.1913265306122449,1
cdf,tas_annual_mean,2.1525599142828917,0.20954810495626822,1
cdf,tas_annual_mean,2.2635412830058974,0.22776967930029154,1
cdf,tas_annual_mean,2.3571347696437708,0.24599125364431487,1
cdf,tas_annual_mean,2.5206083058709208,0.2642128279883382,1
cdf,tas_annual_mean,2.585026088199818,0.2824344023323615,1
cdf,tas_annual_mean,2.892398095264563,0.30065597667638483,1
cdf,tas_annual_mean,2.9437268256301223,0.31887755102040816,1
cdf,tas_annual_mean,2.984265813559388,0.3370991253644315,1
cdf,tas_annual_mean,3.0114268374218356,0.3553206997084548,1
cdf,tas_annual_mean,3.5771815308002104,0.37354227405247814,1
cdf,tas_annual_mean,3.6037438378630076,0.39176384839650147,1
cdf,tas_annual_mean,3.6594833095879338,0.4099854227405248,1
cdf,tas_annual_mean,3.992358793556414,0.4282069970845481,1
cdf,tas_annual_mean,4.108804314947233,0.44642857142857145,1
cdf,tas_annual_mean,4.116586272699878,0.4646501457725947,1
cdf,tas_annual_mean,4.672321173991704,0.48287172011661805,1
cdf,tas_annual_mean,5.05612600132991,0.5010932944606414,1
cdf,tas_annual_mean,5.406892487970885,0.5193148688046647,1
cdf,tas_annual_mean,5.5498366358609035,0.5375364431486881,1
cdf,tas_annual_mean,5.69896972374259,0.5557580174927114,1
cdf,tas_annual_mean,5.781460699299512,0.5739795918367347,1
cdf,tas_annual_mean,6.079376713728795,0.592201166180758,1
cdf,tas_annual_mean,6.215349409943631,0.6104227405247813,1
cdf,tas_annual_mean,6.434006925851063,0.6286443148688047,1
cdf,tas_annual_mean,6.645999326775091,0.646865889212828,1
cdf,tas_annual_mean,6.716472175503358,0.6650874635568513,1
cdf,tas_annual_mean,6.7252386560087025,0.6833090379008746,1
cdf,tas_annual_mean,6.786007660946281,0.701530612244898,1
cdf,tas_annual_mean,6.92214783080853,0.7197521865889213,1
cdf,tas_annual_mean,6.956547018532663,0.7379737609329446,1
cdf,tas_annual_mean,6.9809071999011465,0.7561953352769679,1
cdf,tas_annual_mean,7.034727794741077,0.7744169096209913,1
cdf,tas_annual_mean,7.066789513022617,0.7926384839650146,1
cdf,tas_annual_mean,7.171409132953265,0.8108600583090378,1
cdf,tas_annual_mean,7.242267510563319,0.8290816326530612,1
cdf,tas_annual_mean,7.277486171997222,0.8473032069970845,1
cdf,tas_annual_mean,7.375727408304594,0.8655247813411079,1
cdf,tas_annual_mean,7.562136740186053,0.8837463556851312,1
cdf,tas_annual_mean,7.707288028695134,0.9019679300291545,1
cdf,tas_annual_mean,7.799700028682719,0.9201895043731778,1
cdf,tas_annual_mean,7.801778124562524,0.9384110787172012,1
cdf,tas_annual_mean,7.846747509213177,0.9566326530612245,1
cdf,tas_annual_mean,7.884704524547357,0.9748542274052479,1
cdf,tas_annual_mean,7.943950032668205,0.9930758017492711,1
cdf,tas_annual_mean,8.0415308021395,1.0112973760932944,1
cdf,tas_annual_mean,8.042177259529314,1.029518950437318,1
cdf,tas_annual_mean,8.046812713063545,1.0477405247813412,1
cdf,tas_annual_mean,8.25364841638033,1.0659620991253644,1
cdf,tas_annual_mean,8.315165431680485,1.0841836734693877,1
cdf,tas_annual_mean,8.381793370993869,1.102405247813411,1
cdf,tas_annual_mean,8.38263883857861,1.1206268221574345,1
cdf,tas_annual_mean,8.401097729319803,1.1388483965014577,1
cdf,tas_annual_mean,8.410673844080456,1.157069970845481,1
cdf,tas_annual_mean,8.452825902523509,1.1752915451895043,1
cdf,tas_annual_mean,8.466682941175227,1.1935131195335278,1
cdf,tas_annual_mean,8.518536517202955,1.211734693877551,1
cdf,tas_annual_mean,8.538586525652066,1.2299562682215743,1
cdf,tas_annual_mean,8.540352167202881,1.2481778425655976,1
cdf,tas_annual_mean,8.612170735601982,1.266399416909621,1
cdf,tas_annual_mean,9.007164652759345,1.2846209912536444,1
cdf,tas_annual_mean,9.027416383703931,1.3028425655976676,1
cdf,tas_annual_mean,9.033937328680564,1.321064139941691,1
cdf,tas_annual_mean,9.05032679465912,1.3392857142857142,1
cdf,tas_annual_mean,9.058603898280735,1.3575072886297377,1
cdf,tas_annual_mean,9.100155670338241,1.375728862973761,1
cdf,tas_annual_mean,9.120428218812151,1.3939504373177842,1
cdf,tas_annual_mean,9.197019046806991,1.4121720116618075,1
cdf,tas_annual_mean,9.283114252034757,1.430393586005831,1
cdf,tas_annual_mean,9.388036067854268,1.4486151603498543,1
cdf,tas_annual_mean,9.423879028736456,1.4668367346938775,1
cdf,tas_annual_mean,9.531408946430068,1.4850583090379008,1
cdf,tas_annual_mean,9.551161322369758,1.5032798833819243,1
cdf,tas_annual_mean,9.60683176860581,1.5215014577259476,1
cdf,tas_annual_mean,9.608448845269526,1.5397230320699709,1
cdf,tas_annual_mean,9.617191799851637,1.5579446064139941,1
cdf,tas_annual_mean,9.639219593196083,1.5761661807580174,1
cdf,tas_annual_mean,9.658209529722036,1.594387755102041,1
cdf,tas_annual_mean,9.681973460501757,1.6126093294460642,1
cdf,tas_annual_mean,9.683637426143907,1.6308309037900874,1
cdf,tas_annual_mean,9.708083686612136,1.6490524781341107,1
cdf,tas_annual_mean,9.774582809481734,1.6672740524781342,1
cdf,tas_annual_mean,9.782843077723602,1.6854956268221575,1
cdf,tas_annual_mean,9.79127828441682,1.7037172011661808,1
cdf,tas_annual_mean,9.81076703424651,1.721938775510204,1
cdf,tas_annual_mean,9.879126316417269,1.7401603498542273,1
cdf,tas_annual_mean,9.981819416708767,1.7583819241982508,1
cdf,tas_annual_mean,9.982977434757943,1.776603498542274,1
cdf,tas_annual_mean,10.100881939055144,1.7948250728862973,1
cdf,tas_annual_mean,10.261957849859614,1.8130466472303206,1
cdf,tas_annual_mean,10.29010636054861,1.831268221574344,1
